eeg1,eeg2,eeg3,eeg4,focused,unfocused
-0.433693171,-4.178809166,-0.889616609,0.143883318,1,0
-0.427522451,-4.178809166,-0.866190851,0.18255946,1,0
-0.427522451,-4.178809166,-0.846803427,0.214673117,1,0
-0.427522451,-4.178809166,-0.833897889,0.232810766,1,0
-0.427522451,-4.178809166,-0.827391922,0.235453337,1,0
-0.427522451,-4.178809166,-0.826024473,0.235453337,1,0
-0.427522451,-4.178809166,-0.829479694,0.235453337,1,0
-0.427522451,-4.178809166,-0.836510956,0.235453337,1,0
-0.427522451,-4.178809166,-0.843856454,0.235453337,1,0
-0.427522451,-4.178809166,-0.845853746,0.235453337,1,0
-0.427522451,-4.178809166,-0.839284062,0.235453337,1,0
-0.427522451,-4.178809166,-0.826305866,0.235453337,1,0
-0.427522451,-4.178809166,-0.815581083,0.235453337,1,0
-0.427522451,-4.178809166,-0.814249158,0.235453337,1,0
-0.427522451,-4.178809166,-0.823249996,0.235453337,1,0
-0.427522451,-4.178809166,-0.837969601,0.235453337,1,0
-0.427522451,-4.178809166,-0.853704154,0.235453337,1,0
-0.427522451,-4.178809166,-0.870246232,0.235453337,1,0
-0.427522451,-4.178809166,-0.889291167,0.235453337,1,0
-0.366178125,-4.178809166,-0.909588814,0.399793476,1,0
-0.374344558,-4.178809166,-0.926718235,0.365555346,1,0
-0.385396242,-4.178809166,-0.935830653,0.33330667,1,0
-0.398236781,-4.178809166,-0.936030447,0.308301836,1,0
-0.406469405,-4.178809166,-0.928872764,0.292051256,1,0
-0.40458709,-4.178809166,-0.919726431,0.282420754,1,0
-0.393630028,-4.178809166,-0.91520822,0.276569426,1,0
-0.381134808,-4.178809166,-0.919672728,0.271199733,1,0
-0.376092941,-4.178809166,-0.930585146,0.263510287,1,0
-0.38188073,-4.178809166,-0.942300498,0.251748085,1,0
-0.39510116,-4.178809166,-0.950056255,0.235563323,1,0
-0.409186274,-4.178809166,-0.952254772,0.216702253,1,0
-0.423213661,-4.178809166,-0.94938308,0.177254409,1,0
-0.43533662,-4.178809166,-0.942260921,0.134597868,1,0
-0.444310635,-4.178809166,-0.93386668,0.10141965,1,0
-0.449701428,-4.178809166,-0.925845742,0.083676256,1,0
-0.449247986,-4.178809166,-0.917518556,0.076154955,1,0
-0.44209379,-4.178809166,-0.908221126,0.069946252,1,0
-0.43203494,-4.178809166,-0.899399698,0.059224933,1,0
-0.428000599,-4.178809166,-0.89559418,0.043512218,1,0
-0.435435295,-4.178809166,-0.899749577,0.027447741,1,0
-0.451613039,-4.178809166,-0.908622086,0.01733885,1,0
-0.468228936,-4.178809166,-0.912809789,0.0165153,1,0
-0.475133061,-4.178809166,-0.905765474,0.023562025,1,0
-0.467397451,-4.178809166,-0.889723659,0.036386177,1,0
-0.450122327,-4.178809166,-0.872816026,0.055351589,1,0
-0.43449989,-4.178809166,-0.859382689,0.078668125,1,0
-0.428126574,-4.178809166,-0.848402977,0.099779174,1,0
-0.431888849,-4.178809166,-0.839234233,0.112018988,1,0
-0.441959769,-4.178809166,-0.833183706,0.116001129,1,0
-0.455412894,-4.178809166,-0.832573473,0.117766842,1,0
-0.47445336,-4.178809166,-0.838018835,0.12184418,1,0
-0.501230359,-4.178809166,-0.847590208,0.128072605,1,0
-0.533249795,-4.178809166,-0.857176185,0.134520128,1,0
-0.562949359,-4.178809166,-0.861560762,0.140887529,1,0
-0.585472405,-4.178809166,-0.858129561,0.146391317,1,0
-0.604312897,-4.178809166,-0.850129068,0.147863507,1,0
-0.625287294,-4.178809166,-0.844928563,0.143010825,1,0
-0.651657104,-4.178809166,-0.848089039,0.133119807,1,0
-0.68506521,-4.178809166,-0.858993709,0.121613525,1,0
-0.725515842,-4.178809166,-0.872900426,0.111258157,1,0
-0.768439889,-4.178809166,-0.885767519,0.104500227,1,0
-0.803058982,-4.178809166,-0.896370292,0.106382117,1,0
-0.816367745,-4.178809166,-0.904174387,0.119904794,1,0
-0.80431664,-4.178809166,-0.906677067,0.139409885,1,0
