eeg1,eeg2,eeg3,eeg4,focused,
0.115121879,-4.588984966,0.053020183,0.417357028,1,
0.74366862,#NAME?,-0.3119105,1.12614107,0,
-0.256245852,-3.476436615,-0.657625794,0.101331607,1,
-0.2696732,-5.7961431,-0.3535331,-0.06871,0,
0.29085404,-5.3203087,-0.8622099,0.80067182,0,
-0.40552637,-3.476436615,-0.879108071,0.337024331,1,
-0.392040342,-4.178809166,-0.765060484,0.125947312,1,
-0.265336871,-3.476436615,-0.804466546,0.401759237,1,
0.93434441,-3.7221296,-0.1267652,0.19655143,0,
0.078360908,-3.476436615,-0.387069494,0.414558411,1,
0.087201,-5.1914659,0.32151443,1.30237806,0,
-0.441886604,-4.588984966,-0.507084072,-0.067244783,1,
-0.0091571,-3.7221296,-0.8073807,0.48632371,0,
0.32546502,-6.3638282,-0.6947185,0.39427537,0,
0.639850795,-3.476436615,-0.569972992,0.390532076,1,
0.00866778,#NAME?,-0.4602797,0.16922665,0,
-0.375453919,-3.476436615,-0.601107657,0.295165479,1,
-0.0649588,-3.7221296,-0.8215615,0.28915784,0,
0.14919518,#NAME?,-0.2043949,0.28964338,0,
0.05872176,-5.0988131,-0.5553061,0.17113893,0,
-0.215945944,-4.424050808,-0.421517909,0.230119437,1,
0.83846962,-4.7642632,-0.1895811,1.13269806,0,
-0.105614,-4.9265018,-0.5878068,0.78203315,0,
0.39371124,-5.1914659,-0.2398769,0.68670303,0,
-0.0110727,#NAME?,-0.2112165,0.0823165,0,
-0.178670377,-3.476436615,-0.689545453,0.051844936,1,
-0.119097598,-3.476436615,-0.58915627,0.038686614,1,
-0.106576346,-3.476436615,-0.722586572,0.222924322,1,
-0.225789279,-4.424050808,-0.7604357,0.079387374,1,
-0.702414155,-3.476436615,-0.652829707,0.085158989,1,
0.40067559,-5.3203087,-0.5781329,0.32393137,0,
0.04282046,-3.7221296,-0.892408,0.37679791,0,
-0.211212933,-4.424050808,-0.849118173,0.041101363,1,
0.49191329,-5.0279942,-0.5673169,0.59716374,0,
-0.349803925,-4.178809166,-0.80939126,0.192983955,1,
1.1058017,-3.7221296,0.37627664,0.76481009,0,
-0.1977874,-5.0988131,-0.8518625,0.13796355,0,
0.08788795,-5.3203087,-0.5029047,0.63533938,0,
-0.0069932,#NAME?,-0.5046854,0.34252697,0,
-0.497765958,-4.588984966,-0.550816238,-0.144521043,1,
0.049922422,-3.476436615,-0.552815855,0.388495058,1,
-0.4072893,#NAME?,-0.3805231,-0.0052255,0,
0.152505398,-3.476436615,-0.732208312,0.577229619,1,
-0.182145,-4.9265018,-0.5597035,0.68442512,0,
-0.1494826,#NAME?,-0.6801149,-0.0887974,0,
-0.364562422,-4.424050808,-0.368299395,0.166642755,1,
-0.495326161,-4.178809166,-0.725842416,0.263849258,1,
-0.0649588,-3.7221296,-0.5915366,0.28915784,0,
0.63434446,#NAME?,0.12697844,0.28964338,0,
0.017490419,-4.424050808,-0.445998967,-0.135203406,1,
-0.0214359,-3.3868291,-0.5796505,0.36661518,0,
0.14857066,-3.7221296,-0.8098227,0.62632352,0,
-0.1925896,#NAME?,-0.718128,-0.0547749,0,
-0.300961435,-4.588984966,-0.528590381,0.050828811,1,
0.43432018,-5.3203087,-0.5603123,0.36269414,0,
0.44218719,-4.424050808,-0.500198305,0.386214495,1,
-0.4888002,-5.7961431,-0.4939634,0.17350051,0,
0.62562585,-4.8700461,-0.4337168,1.07814145,0,
-0.381634802,-4.178809166,-0.917366683,0.097556546,1,
-0.451007456,-3.476436615,-0.562954605,-0.121375628,1,
-0.098492615,-4.215648174,-0.386773765,0.119625181,1,
0.317394674,-3.476436615,-0.339166433,0.512628496,1,
0.96641374,-3.7221296,0.39484486,0.70378488,0,
0.30722979,-3.3868291,-0.4105337,0.48465657,0,
0.1791929,-3.3868291,-0.1832661,0.42800012,0,
0.04584516,#NAME?,-0.7993485,0.23282796,0,
0.24415602,#NAME?,-0.331235,0.84265029,0,
